,client_id,gender,car_owner,property_owner,number_of_children,annual_income,income_type,education,marital_status,housing_type,employed_days,work_phone,phone,email_id,number_of_family_members,label,age_in_years,years_of_experience,employment_status
0,5008827,M,Y,Y,0,180000.0,Pensioner,Higher education,Married,House / apartment,365243,0,0,0,2,1,51.43013698630137,2.313154757362086,Unemployed
1,5009744,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,-586,1,1,0,2,1,37.14246575342466,1.2670751564350058,Employed
2,5009746,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,-586,1,1,0,2,1,43.9461426596527,1.2670751564350058,Employed
3,5009749,F,Y,N,0,234600.0,Commercial associate,Higher education,Married,House / apartment,-586,1,1,0,2,1,37.14246575342466,1.2670751564350058,Employed
4,5009752,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,-586,1,1,0,2,1,37.14246575342466,1.2670751564350058,Employed
5,5009753,F,Y,N,0,315000.0,Pensioner,Higher education,Married,House / apartment,-586,1,1,0,2,1,37.14246575342466,1.2670751564350058,Employed
6,5009754,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,-586,1,1,0,2,1,37.14246575342466,1.2670751564350058,Employed
7,5009894,F,N,N,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,0,0,0,2,1,60.64109589041096,2.313154757362086,Unemployed
11,5018498,F,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,-1002,1,1,0,2,1,51.917808219178085,1.6568661622026248,Employed
12,5018501,F,Y,Y,0,181048.75730622618,Working,Secondary / secondary special,Married,House / apartment,-1002,1,1,0,2,1,51.917808219178085,1.6568661622026248,Employed
13,5018503,F,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,-1002,1,1,0,2,1,51.917808219178085,1.6568661622026248,Employed
15,5021310,M,N,Y,0,270000.0,Working,Secondary / secondary special,Married,House / apartment,-248,0,0,0,2,1,46.29041095890411,0.8242888175842983,Employed
16,5021314,M,N,Y,0,270000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-248,0,0,0,2,1,46.29041095890411,0.8242888175842983,Employed
17,5021430,F,N,Y,0,126000.0,Commercial associate,Higher education,Single / not married,House / apartment,-2470,0,0,0,1,1,51.8,2.6013695023335752,Employed
18,5021431,F,N,Y,0,126000.0,Commercial associate,Higher education,Single / not married,House / apartment,-2470,0,0,0,1,1,51.8,2.6013695023335752,Employed
19,5021998,M,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-1644,0,0,1,2,1,51.679452054794524,2.122288761936296,Employed
20,5022053,M,N,N,0,202500.0,Working,Higher education,Single / not married,House / apartment,-4327,0,0,0,1,1,35.0986301369863,3.443079220777231,Employed
21,5022617,M,Y,Y,0,202500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-1674,0,0,1,2,1,32.93698630136986,2.141565168250318,Employed
22,5023781,M,N,Y,0,157500.0,Commercial associate,Higher education,Civil marriage,House / apartment,-1086,0,0,0,2,1,48.76712328767123,1.7249181040714439,Employed
23,5023831,F,N,Y,2,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-925,0,0,0,4,1,33.24657534246575,1.5919317118967338,Employed
24,5024071,F,N,Y,0,180000.0,Working,Higher education,Married,House / apartment,-854,0,0,0,2,1,43.76986301369863,1.5296163007098416,Employed
26,5024916,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,0,1,0,2,1,59.81369863013698,2.313154757362086,Unemployed
27,5024917,F,N,Y,0,155175.0962264151,Pensioner,Secondary / secondary special,Married,House / apartment,365243,0,1,0,2,1,59.81369863013698,2.313154757362086,Unemployed
28,5025127,F,N,Y,0,292500.0,Working,Secondary / secondary special,Married,House / apartment,-3350,0,0,0,2,1,30.44109589041096,3.029534979461505,Employed
30,5029028,F,N,Y,0,90000.0,Working,Lower secondary,Single / not married,Rented apartment,-4770,0,0,0,2,1,32.94794520547945,3.615037088424534,Employed
31,5029311,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,0,1,1,2,1,59.93424657534246,2.313154757362086,Unemployed
32,5033453,F,N,N,0,135000.0,Working,Higher education,Single / not married,House / apartment,-2394,0,0,0,1,1,29.44931506849315,2.561035749377396,Employed
33,5033514,F,Y,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,-384,1,0,0,3,1,43.704109589041096,1.0256972236096518,Employed
34,5033916,M,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-3647,0,0,0,2,1,35.657534246575345,3.160977826862727,Employed
35,5036469,M,Y,N,0,112500.0,State servant,Secondary / secondary special,Single / not married,House / apartment,-1546,0,0,0,2,1,55.706849315068496,2.0580613300764785,Employed
36,5036590,M,Y,Y,0,292500.0,Working,Higher education,Married,House / apartment,-808,0,0,0,2,1,57.68493150684932,1.4878503386217936,Employed
37,5036660,F,Y,Y,0,76500.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,0,0,0,2,1,65.3013698630137,2.313154757362086,Unemployed
38,5036795,M,Y,Y,0,215100.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-1285,0,1,0,2,1,52.534246575342465,1.8763123261348253,Employed
41,5045888,F,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,365243,0,0,0,1,1,63.797260273972604,2.313154757362086,Unemployed
42,5045894,F,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,365243,0,0,0,1,1,63.797260273972604,2.313154757362086,Unemployed
43,5045895,F,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,365243,0,0,0,1,1,63.797260273972604,2.313154757362086,Unemployed
44,5046324,F,N,Y,1,157500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-2269,0,1,0,3,1,42.37260273972603,2.4932786358857655,Employed
45,5046328,F,N,Y,1,157500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-2269,0,1,0,3,1,42.37260273972603,2.4932786358857655,Employed
46,5047662,F,N,Y,1,67500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-4114,0,0,0,3,1,51.726027397260275,3.357265684558243,Employed
47,5048300,M,Y,N,1,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-1161,0,0,0,3,1,30.386301369863013,1.7834858894334487,Employed
48,5048301,M,Y,N,1,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-1161,0,0,0,3,1,30.386301369863013,1.7834858894334487,Employed
51,5050671,M,N,N,0,171000.0,Commercial associate,Incomplete higher,Single / not married,House / apartment,-166,1,1,0,1,1,31.80821917808219,0.6743845494582044,Employed
52,5051160,M,Y,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,-866,0,0,0,3,1,26.284931506849315,1.5403255304402466,Employed
53,5051161,M,Y,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,-866,0,0,0,3,1,26.284931506849315,1.5403255304402466,Employed
54,5052659,F,N,Y,0,103500.0,Working,Secondary / secondary special,Married,House / apartment,-564,0,0,1,2,1,28.482191780821918,1.2430629426750903,Employed
55,5052661,F,N,Y,0,103500.0,Working,Secondary / secondary special,Married,House / apartment,-564,0,0,1,2,1,28.482191780821918,1.2430629426750903,Employed
56,5052877,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-3366,0,0,0,2,1,49.082191780821915,3.0367610719678257,Employed
57,5052879,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-3366,0,0,0,2,1,49.082191780821915,3.0367610719678257,Employed
58,5052882,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-3366,0,0,0,2,1,49.082191780821915,3.0367610719678257,Employed
59,5053254,F,Y,Y,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-2150,1,0,0,2,1,51.14246575342466,2.4270168847587588,Employed
60,5054063,M,N,N,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,-1458,0,0,0,3,1,44.9972602739726,1.9986296675335342,Employed
61,5054068,M,N,N,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,-1458,0,0,0,1,1,44.9972602739726,1.9986296675335342,Employed
64,5058345,F,N,Y,0,99000.0,Pensioner,Higher education,Separated,House / apartment,365243,0,0,0,1,1,67.42739726027398,2.313154757362086,Unemployed
65,5058348,F,N,Y,0,155175.0962264151,Pensioner,Higher education,Separated,House / apartment,365243,0,0,0,1,1,67.42739726027398,2.313154757362086,Unemployed
66,5058350,M,N,Y,0,99000.0,Pensioner,Higher education,Separated,House / apartment,365243,0,0,0,1,1,67.42739726027398,2.313154757362086,Unemployed
67,5058352,F,N,Y,0,99000.0,Pensioner,Higher education,Separated,House / apartment,365243,0,0,0,1,1,67.42739726027398,2.313154757362086,Unemployed
71,5061360,M,N,Y,0,65250.0,Pensioner,Higher education,Married,House / apartment,365243,0,0,0,2,1,57.18356164383562,2.313154757362086,Unemployed
72,5061396,M,N,Y,0,72900.0,Pensioner,Lower secondary,Married,House / apartment,365243,0,0,0,2,1,64.17260273972603,2.313154757362086,Unemployed
73,5061636,F,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,365243,0,1,0,2,1,59.35342465753425,2.313154757362086,Unemployed
74,5061691,F,N,Y,1,67500.0,Commercial associate,Higher education,Married,House / apartment,-1567,0,0,1,3,1,24.991780821917807,2.0719919606338983,Employed
75,5062136,M,N,N,1,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-137,0,0,0,2,1,35.47123287671233,0.612651994001019,Employed
76,5062137,M,N,Y,1,181048.75730622618,Working,Secondary / secondary special,Single / not married,House / apartment,-137,0,0,0,2,1,35.47123287671233,0.612651994001019,Employed
77,5065348,F,Y,Y,0,202500.0,Working,Higher education,Married,House / apartment,-3974,0,0,0,2,1,41.534246575342465,3.2996471376310397,Employed
78,5065462,F,N,N,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-1570,0,0,0,2,1,52.06575342465754,2.0739744123334067,Employed
79,5065518,F,Y,N,1,202500.0,Working,Higher education,Married,Rented apartment,-2878,0,0,0,3,1,26.054794520547944,2.8080120204246484,Employed
80,5068389,F,Y,Y,1,270000.0,Working,Higher education,Separated,House / apartment,-140,0,1,0,2,1,38.4986301369863,0.6193235372853323,Employed
81,5068456,F,Y,N,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-2576,0,0,0,2,1,37.20821917808219,2.65660201132487,Employed
82,5068651,F,Y,Y,0,360000.0,State servant,Higher education,Separated,House / apartment,-1905,0,0,0,1,1,52.89041095890411,2.2845520528523267,Employed
83,5069216,F,Y,Y,0,256500.0,Commercial associate,Higher education,Married,House / apartment,-1724,1,0,0,2,1,30.71232876712329,2.173312603201131,Employed
84,5069218,F,Y,Y,0,256500.0,Commercial associate,Higher education,Single / not married,House / apartment,-1724,1,0,0,2,1,30.71232876712329,2.173312603201131,Employed
85,5069307,M,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-1328,0,0,0,2,1,42.84931506849315,1.9074475521973238,Employed
86,5078820,F,N,N,2,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-4987,0,0,0,4,1,39.66027397260274,3.696351403564079,Employed
87,5078945,F,N,Y,2,180000.0,Working,Incomplete higher,Separated,House / apartment,-3496,1,0,0,3,1,33.56986301369863,3.094847684746508,Employed
88,5078946,F,N,Y,2,180000.0,Working,Incomplete higher,Separated,House / apartment,-3496,1,0,0,3,1,33.56986301369863,3.094847684746508,Employed
89,5079166,M,Y,N,0,202500.0,Working,Secondary / secondary special,Married,With parents,-1394,0,0,0,2,1,37.58904109589041,1.9542717523905884,Employed
90,5079167,M,Y,N,0,202500.0,Working,Secondary / secondary special,Married,With parents,-1394,0,0,0,2,1,37.58904109589041,1.9542717523905884,Employed
91,5079168,M,Y,N,0,202500.0,Working,Secondary / secondary special,Married,With parents,-1394,0,0,0,2,1,37.58904109589041,1.9542717523905884,Employed
92,5085886,M,Y,Y,0,315000.0,Commercial associate,Higher education,Married,House / apartment,-1265,0,0,0,2,1,51.12602739726027,1.861653411528992,Employed
93,5089162,F,Y,N,0,225000.0,Working,Higher education,Married,House / apartment,-2531,1,1,0,2,1,55.51780821917808,2.6332957629826668,Employed
94,5089959,M,N,Y,1,126000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-2105,0,0,0,3,1,34.945205479452056,2.401483559733698,Employed
96,5090214,M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-217,0,0,0,2,1,29.34794520547945,0.7710515857873619,Employed
97,5090216,M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-217,0,0,0,2,1,29.34794520547945,0.7710515857873619,Employed
98,5092087,M,Y,Y,2,247500.0,Working,Secondary / secondary special,Married,House / apartment,-535,0,0,0,4,1,47.45205479452055,1.2106830405426245,Employed
99,5092245,F,N,N,0,103500.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,0,0,0,2,1,60.57808219178082,2.313154757362086,Unemployed
101,5096527,F,N,N,0,135000.0,Working,Secondary / secondary special,Widow,Co-op apartment,-584,0,0,0,1,1,54.827397260273976,1.2649110640673518,Employed
102,5096528,F,N,N,0,135000.0,Working,Secondary / secondary special,Widow,Co-op apartment,-584,0,0,0,1,1,54.827397260273976,1.2649110640673518,Employed
103,5096743,F,N,Y,0,180000.0,Working,Lower secondary,Widow,House / apartment,-2227,1,1,0,1,1,46.035616438356165,2.4700951121391457,Employed
105,5100430,M,Y,N,0,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-613,0,0,0,1,1,44.68493150684932,1.2959367479913981,Employed
106,5105045,M,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,365243,0,0,0,1,1,62.846575342465755,2.313154757362086,Unemployed
107,5105056,M,Y,N,0,234600.0,Commercial associate,Higher education,Single / not married,Municipal apartment,-606,0,1,1,1,1,31.583561643835615,1.2885161902757527,Employed
109,5113621,M,N,N,0,225000.0,Working,Secondary / secondary special,Widow,Municipal apartment,-346,0,0,0,1,1,53.16712328767123,0.973624776533266,Employed
110,5113933,F,N,N,0,67500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,365243,0,1,0,1,1,63.75616438356165,2.313154757362086,Unemployed
111,5113944,F,Y,N,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,0,1,0,2,1,63.9013698630137,2.313154757362086,Unemployed
112,5114249,M,N,N,1,130500.0,Working,Incomplete higher,Married,Rented apartment,-1808,1,1,0,3,1,31.043835616438358,2.225629047603002,Employed
113,5114253,M,N,N,1,130500.0,Working,Incomplete higher,Married,Rented apartment,-1808,1,1,0,3,1,31.043835616438358,2.225629047603002,Employed
114,5115604,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-3420,0,0,0,2,1,39.78904109589041,3.061023197184012,Employed
115,5115606,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-3420,0,0,0,2,1,39.78904109589041,3.061023197184012,Employed
116,5115608,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-3420,0,0,0,2,1,39.78904109589041,3.061023197184012,Employed
